industry,heading,category1,category2,category3,category4,category5,default_sentence
情報通信・サービスその他 ,戦略に関する事項,多様性の推進,働きがいのある社内環境づくり,環境負荷の削減,サプライチェーンの見直し,その他,"当社は、サステナビリティの実現に向けた包括的な戦略を推進しており、それは我々の企業価値の向上と持続可能な社会発展への貢献と一致しています。情報通信・サービス業界を牽引する企業として、当社は革新的なサービス提供と同時に環境と社会に対する責任を果たすことをお約束いたします。

多様性の推進においては、包括的な人材管理方針を採用し、女性やマイノリティの登用を積極的に進めています。2025年までに女性管理職比率を30％に引き上げることを目指し、現在はその半ばの15％達成となりました。ダイバーシティ＆インクルージョンチャーターを策定し、職場での性別、民族、文化の違いが相互の理解と尊重に基づいて価値を生み出す環境の構築に努めております。

働きがいのある社内環境づくりに関しては、「Happiness Work Project」を推進しています。このプロジェクトを通じて、従業員の満足度評価を毎年測定し、その結果を職場改善に反映させるシステムを実施しています。また、フレキシブルな勤務時間制度やリモートワークを導入して、ワークライフバランスの実現を支援しています。

環境負荷の削減においては、「Green ICT Initiative」というプログラムを運営して、当社のITインフラストラクチャの炭素フットプリントを削減しています。2030年までに温室効果ガス排出を実質ゼロにすることを目標としており、再生可能エネルギーの導入拡大や、エネルギー効率の高いデータセンターへの投資により、それを達成すべく取り組んでいます。

サプライチェーンの見直しに関しては、全てのベンダーと協力し、サステナビリティ基準「Eco Value Chain Program」を遵守しています。このプログラムでは、労働条件の公正さや原材料のエコフレンドリーな調達を評価し、最高の標準を満たすサプライヤーとのみ長期的なビジネス関係を持つことを目指しています。これにより、サプライチェーン全体の環境負荷と社会的リスクを低減し、持続可能な製品ライフサイクルを実現しています。

その他には、地域社会との協働を深めるために、「Local Connect Program」を展開しており、情報格差の解消やIT教育の普及に力を入れています。次世代への教育支援において100万人以上の子供たちに無料のプログラミング教育を提供することを目標に、これまで50万人への教育機会を提供しました。これを通じて、持続可能な社会の構築と情報通信技術の可能性を拡げていくことを続けてまいります。"
小売 ,戦略に関する事項,多様性の推進,働きがいのある社内環境づくり,環境負荷の削減,サプライチェーンの見直し,その他,"当社は、持続可能な企業価値の向上と社会への貢献を目指し、サステナビリティや社会的責任を経営の中心に据えています。小売業として、消費者からの信頼を獲得し、社会的要請に応え続けるための長期的な戦略を策定しております。グローバル化が進む中で、地球規模の課題解決にも力を注ぎ、サステナブルなサプライチェーンを構築し、環境に優しい商品を提供し続けることで、業界のトレンドをリードしてまいります。

多様性の推進においては、従業員の出身地、性別、年齢、障害の有無など多様なバックグラウンドを持つ人材がイノベーションを生み出し、企業競争力を高める源泉と考えています。この観点から、当社は「Diversity 2025」計画を立ち上げ、「女性の管理職率を20%に引き上げる」「障害者雇用率を法定雇用率の2倍に拡大する」などの目標を設けて活動を推進しています。実現に向けて、社内にダイバーシティ推進チームを設置し、メンター制度や世代を超えた交流プログラムを実施しています。

働きがいのある社内環境づくりに関しては、「Happy Work Project」を始動し、従業員のモチベーションと生産性向上を目指しています。フレキシブルな労働時間制度の導入、リモートワークの推進、キャリアデザインサポート、ストレスチェックとメンタルヘルスケアの充実など、従業員一人ひとりが自分らしい働き方を実現できる環境を作り出す努力を行っております。

環境負荷の削減においては、2030年までに当社全体のCO2排出量を100%削減する「NCM（Non Co2 Movement）」プロジェクトを推進しています。これを実現するために、全店舗でのLED照明への切り替え、再生可能エネルギーへの転換、「Zero Waste Stores」を目指した廃棄物削減プログラムが具体的な取り組みです。また、電気自動車の配送トラックへの更新、店舗のエネルギーマネジメントシステムの最適化も進めております。

サプライチェーンの見直しに関しては、「Ethical Sourcing Initiative」を発足し、品質だけでなく、環境や人権に配慮した調達基準を設定しました。取引先選定時には、当社が定めるサステナビリティ基準の遵守状況をチェックし、一定の要件を満たさない事業者とは取引を行わない徹底した姿勢を示しています。この取り組みにより、消費者には責任ある消費を、そして業界にはエシカルな商習慣の浸透を促すことを狙っています。

その他には、地域社会への貢献とコミュニティとの共生を目指す「Good Neighbor Plan」を策定しています。地元産商品の販売促進、地域イベントの支援、店舗を活用した社会教育プログラムなどを通じて、XXX社が地域の一員として積極的な役割を担っていきます。これらの取り組みは当社のブランド価値を高めるとともに、持続可能な地域経済の発展をサポートすることに繋がります。"
運輸・物流 ,戦略に関する事項,多様性の推進,働きがいのある社内環境づくり,環境負荷の削減,サプライチェーンの見直し,その他,"当社は、サステナビリティの実現に向け、積極的な取り組みを行っております。運輸・物流業界のリーダーとして、当社の持続可能性戦略は、社会の持続可能性を高めるだけでなく、当社の長期的な業績の向上にも寄与しています。この章では、その戦略の概略をご報告いたします。

多様性の推進においては、当社は包括的な人材を育成することに重点を置いています。その一環として、女性の管理職率を2025年までに30%に引き上げる目標「Women in Leadership Initiative（WLI）」を立ち上げました。この目標を実現するため、女性従業員に対するメンターシッププログラムを拡充し、キャリアパスの多様化を推進。また、ジェンダーバイアスを排除した採用プロセスの実施や育児休暇後の復職支援も充実させています。

働きがいのある社内環境づくりに関しては、従業員満足度を測る定期的なアンケート「Workplace Happiness Index（WHI）」を用いています。その結果に基づき、労働条件の改善やキャリア開発のための研修システムの導入、また、従業員がプライベートと仕事のバランスを取れるよう、柔軟な勤務体系を導入する等、多面的なアプローチを進めています。

環境負荷の削減においては、2030年までにCO2排出量を50%削減する目標「Green Transport Challenge（GTC）」に取り組んでいます。具体的には、最新の燃料効率の良い車両の投入、アイドリングストップシステムの普及、ロジスティックスオペレーションの効率化による積載率の改善、そして代替エネルギー使用の促進などに着手しております。また、私たちの温室効果ガス削減技術の一つとして、太陽光発電を活用した「Solar-Drive Fleet Program（SDFP）」を展開しています。

サプライチェーンの見直しに関しては、サプライヤーとの協力関係を強化し、彼らの環境および社会的責任の実績に基づいて、パートナー企業を評価・選定しています。私たちは「Sustainable Supplier Engagement Program（SSEP）」を通じて、サプライヤーにも環境保護と労働条件の向上を要求し、全体のサプライチェーンを通じたサステナビリティの向上を目指しております。

その他には、地域社会への貢献として、年間を通じた社会貢献活動「Community Connect Campaign（CCC）」を実施。具体的には、物流を必要とする非営利団体へのサービスの提供や、従業員によるボランティア活動を奨励しています。これらは環境・社会に対する当社コミットメントの表れであり、私たちのブランド価値とも直結しています。当社はこれらの施策を通じて、利害関係者とともに持続可能な未来を築くことをお約束いたします。"
不動産 ,戦略に関する事項,多様性の推進,働きがいのある社内環境づくり,環境負荷の削減,サプライチェーンの見直し,その他,"当社は、持続可能な経営を理念の根幹に据え、不動産業界のリーダーとして社会的責任を果たすべく精力的に取り組んでいます。地球規模での環境問題や社会的課題への貢献を目的としたサステナビリティ戦略を展開し、経済・環境・社会の全ての側面で価値を創造することを目指し、サステナビリティ統合報告書の中で透明性の高い情報提供を行ってまいります。

多様性の推進においては、当社では性別、年齢、国籍等に関わらず、多様な人材が活躍できる環境を整備しております。具体的には、女性の管理職比率を現状の15%から2025年までに20%以上へと引き上げる目標を設定し、「ウーマンズ・リーダーシップ2030」というプロジェクトを推進しております。このプロジェクトにより、育児や介護に配慮した勤務体系や、女性リーダーを発掘・育成するメンタリングプログラムを展開しております。

働きがいのある社内環境づくりに関しては、従業員が最大限に能力を発揮できるよう、定期的なキャリアコンサルティングと教育プログラムを提供しています。また、「Happiness at Work」のスローガンのもと、社員の健康と心の豊かさを促進するための「マインドフルネス研修」や「ヘルスチェックアップデイ」を月1回実施し、健全なワークライフバランスの実現を目指しております。

環境負荷の削減においては、私たちの手掛ける物件において「グリーンビルディングスタンダード認証（GBS）」を取得することを目標とし、2030年までに全ての事業所でエネルギー由来のCO2排出量を100%削減することを目指しております。この挑戦は、「NCM（Non CO2 Movement）」と名付け、再生可能エネルギーの利用拡大や省エネルギー設備への投資、さらには社社会全体の環境意識の向上に寄与する啓蒙活動にも力を入れております。

サプライチェーンの見直しに関しては、取引先に対しても環境と人権を重視した行動基準「GRSI基準（Green & Responsible Supply Initiative）」を定め、これを遵守することを義務づけております。物資の調達から物件の構築、管理までの全過程で、サステナビリティを考慮した業務遂行を徹底していくことで、全体最適と倫理的なビジネスの推進を図ります。

その他には、地域社会との協働を促進するために「クリーン・シティ・プロジェクト」を設立し、不動産企業としての専門性を活かした街の美化活動や防災対策の推進にも積極的に関わっております。また、年間100万円を上限とした社会投資基金「XXXパートナーシップファンド」を設け、教育や文化、スポーツの分野で活躍するNPOやNGOへの支援を続け、企業の社会的責務を遂行していきます。これらの方策を通じ、サステナビリティの重要性の普及と取組の拡大に着実に貢献していく所存であります。"
食品 ,戦略に関する事項,多様性の推進,働きがいのある社内環境づくり,環境負荷の削減,サプライチェーンの見直し,その他,"当社は、サステナビリティを経営の中核に据え、持続可能な社会の実現を目指しています。これは、私たちXXX社が食品産業における環境的・社会的責任を果たすことを意味します。そのために、我々は「Green Plate Initiative 2025」と称する環境を尊重し、資源を守り、世代を超えて持続可能な食品供給システムを構築するためのアクションプランを策定しました。

多様性の推進においては、私たちは社内のダイバーシティ＆インクルージョン計画「Harmonious Table」を展開しています。この計画では、女性の管理職比率を2025年までに30%に引き上げることが目標です。さらに、性別や国籍、年齢、身体能力に関わらず、全ての社員が能力を十分に発揮できる職場環境を実現することを目指しており、2020年からは「多様性マネジメント研修」を全社員に義務づけています。

働きがいのある社内環境づくりに関しては、「Job Crafting Program」を推進しております。これは、社員個々の仕事の意義や価値観を見直し、より自己実現につながるキャリア形成をサポートするプログラムです。実際に、2021年度の社内調査では、仕事の満足度が前年比10%向上するなど、ポジティブな結果が出ています。

環境負荷の削減においては、「Zero Emission Food Network（ZEFN）」計画を2023年に立ち上げました。これは、2030年までに工場や物流におけるCO2排出量を50%削減し、2040年までには100%削減を目標としております。また、自社の製品パッケージにリサイクル可能な材質の使用を積極的に進めており、2022年にはリサイクル材の使用率を80%に達成しました。

サプライチェーンの見直しに関しては、「Sustainable Ingredients Strategy」を採用しています。これにより、農場からフォークまでの全プロセスで持続可能な原材料の使用を徹底し、農薬や化学肥料の使用を減らしています。2024年までには、調達する全ての小麦と大豆が持続可能な認証を受けたものであることを目指しており、加えて、小規模農家とのパートナーシップを50%以上拡大する計画です。

その他には、健康と栄養に関する社会的課題に応えるべく「Nutri-Value 2025」を推進しています。これは、私たちの製品の栄養成分を改善し、消費者にとってより健康的な選択肢を提供することを目的としています。2025年までには、砂糖や飽和脂肪の削減、野菜や穀物の配合比率の向上を行い、全製品ラインナップで栄養改善を完了させる予定です。また、消費者への健康情報の提供を強化するため、製品パッケージに栄養スコアを表示し、健康的な食生活の選択をサポートしています。

これらの取り組みを通じて、当社は食品産業のリーダーとしての責任を全うし、持続可能な未来への貢献を強化していきます。"
エネルギー資源 ,戦略に関する事項,多様性の推進,働きがいのある社内環境づくり,環境負荷の削減,サプライチェーンの見直し,その他,"当社は、持続可能なエネルギー資源企業として、2030年までに再生可能エネルギー事業比率を50％以上に高め、化石燃料依存の低減とクリーンエネルギーの展開に全力を尽くします。この目標達成に向け、「Green Horizon 2030」という長期プロジェクトを立ち上げ、風力、太陽光、地熱などの再生可能エネルギー源への投資を拡大しています。また、既存の石油・天然ガス採掘事業についても、CCS（Carbon Capture and Storage）技術を活用してCO2排出量の削減を図ることで、環境への負荷を減少させる取り組みを進めています。

多様性の推進においては、組織のイノベーション能力と競争力の強化を目指し、女性の管理職率を2025年までに30%に引き上げる目標を設定しています。この「Diversity Expansion Plan」を実現するため、積極的な女性向けのキャリア開発プログラムを導入し、リーダーシップ研修やメンタリング制度を提供しています。さらに、グローバル市場における文化的多様性を反映するため、異なる国籍や背景を持つ人材の採用に力を入れることで、より幅広い視点からの意思決定が可能となる環境を整えています。

働きがいのある社内環境づくりに関しては、従業員が自己実現できるための支援を強化すると共に、ワークライフバランスを重視しています。「Wellness Program」の一環として、フレキシブルな勤務体系を導入し、在宅勤務の機会を提供。また、ストレス管理セミナーや健康管理ツールの提供を通じて、従業員のメンタルとフィジカルの両面でのサポートを行っています。

環境負荷の削減においては、「NCM（Non Co2 Movement）」戦略を展開し、2030年までに当社のCO2排出量を100%削済み、まさにネットゼロの達成を目指しています。これには、高効率のエネルギー利用技術の導入やエネルギー消費の最適化、そしてリニューアブルエネルギーへの全面移行が含まれています。その一環として、全事業所において省エネ型機器の導入や、低炭素社会へのシフトを加速するための「エコ・パートナーシップ」を産業界や政府機関と結成しています。

サプライチェーンの見直しに関しては、取引先選定から物流に至るまで、環境と社会的責任を重要視する「Sustainable Supply Chain Code」を策定。全サプライヤーに環境基準や労働条件の遵守を求める一方で、エネルギー効率が高く、低排出の製品やサービスを優先して採用しています。長期契約の締結を通じてサプライヤーの持続可能なビジネスモデル構築の支援も行い、業界全体のサステナビリティ向上に寄与しています。

その他には、地域社会への貢献と企業の公共性を高める「Eco-Community Program」を発足し、エネルギー教育プログラムの提供や、環境保全活動への参画を推進しています。地域住民と協力し、クリーンエネルギーに関するセミナーやワークショップを開催することで、持続可能な社会の構築に向けた共通認識の醸成と実践活動の推進に努めています。"
機械 ,戦略に関する事項,多様性の推進,働きがいのある社内環境づくり,環境負荷の削減,サプライチェーンの見直し,その他,"当社は、エコテクノロジー・イノベーターとして、サステナビリティを企業経営に不可欠な基軸に据えております。わが社は、2030年までに全工場でのエネルギー自給率を80%以上に引き上げると同時に、製品ライフサイクル全体でのCO2排出量を現在比で50%削減する「グリーン・フロンティア・プロジェクト」を立ち上げました。また、2040年までは、サプライヤーと協力して、100%リニューアブルエネルギーの使用を実現する「クリーンエナジーアライアンス」という目標も掲げています。

多様性の推進においては、女性や外国籍従業員の比率を向上させることを狙い、2025年までに女性の管理職率を30%まで引き上げる「ダイバーシフィケーション2030プログラム」を導入しております。このために、積極的な育児・介護休業制度の拡張や、女性のキャリア形成に特化した研修プログラムを提供し、真の意味でダイバーシティ&インクルージョンが実現される職場環境を築いています。

働きがいのある社内環境づくりに関しては、「ワーク&ライフ・ハーモニー計画」を推進しております。具体的には、フレックスタイム制の導入、リモートワークの常設化、メンタルヘルスケアプログラムの提供などを実施し、従業員のワークライフバランス向上と生産性の向上に寄与するための仕組みを構築しております。また、社内のアイディアコンテスト「イノベーションマラソン」を年2回開催し、従業員の創造性を喚起させ、自らが働く環境を改善する機会も創出しております。

環境負荷の削減においては、製造プロセスにおける水利用量の削減、廃棄物のリサイクル率向上を目指し、最新の水資源リサイクルシステムを2023年末までに全事業所に導入することを決定しました。こちらは「アクアセイブ・イニシアチブ」と命名され、2022年から段階的に導入を開始し、従業員一人ひとりが環境負荷を意識した活動へ積極的に関与できる体制を築き上げています。

サプライチェーンの見直しに関しては、「エサストレーサビリティーシステム」という新たな管理システムを全てのサプライヤーに対する評価と監査に採用。これにより、原材料の調達から最終製品がお客様に届くまでの各ステージで、持続可能な環境・社会規範が遵守されていることを保証しています。また、供給元の多様化を図ることでリスク分散を進め、サプライチェーン全体のレジリエンス向上にも努めております。

その他には、地域社会との共生をはかり、「地域共生プログラム」を通じて、社会投資としての教育支援や持続可能な開発に関する啓発活動を展開しています。具体的には、当社の工場がある地域の大学生に対して環境技術の奨学金を提供したり、地元産業を支援するための技術交流会を定期的に開催しており、これによりエンゲージメント向上と共にイノベーションの芽を育てることを目指しております。それら一連の取り組みを通じて、当社はサステナビリティのリーダーとして、業界内外のモデル事例となることを目指し、それを実現するべく全社一丸となって取り組んでまいります。"
医薬品 ,戦略に関する事項,多様性の推進,働きがいのある社内環境づくり,環境負荷の削減,サプライチェーンの見直し,その他,"医薬品業界において、株式会社XXXは、社会と環境に対する責任を核としたサステナビリティ戦略を推進しております。当社は、2030年を目標年とする「健康な地球、健康な未来」イニシアティブを実施中です。この中で、最先端の医療技術を活かした製品開発とエコフレンドリーな製造プロセスを融合させ、製品一つひとつが社会の持続可能性に寄与するように努力しています。

多様性の推進においては、当社は女性管理職の比率を現在の15%から2025年までに25%に引き上げる目標「Women in Pharma Leadership Initiative」を打ち出しております。現在もダイバーシティ&インクルージョン研修を全従業員が受講し、さまざまなバックグラウンドを持つ人材が価値を発揮できる環境整備に取り組んでいます。

働きがいのある社内環境づくりに関しては、従業員のメンタルヘルスケアプログラムや「Job Crafting Workshop」を拡充し、一人ひとりが自身の強みを生かせる職場の設計に力を入れています。また、従業員のワークライフバランスを重視し、フレキシブルな勤務体系「Time Shift System」を導入し、年間の無過労死目標達成を目指しています。

環境負荷の削減においては、2022年に発表した「NCM（Non CO2 Movement）」に基づき、再生可能エネルギーの使用比率を80%まで高め、2030年までにCO2排出量を100%削減することを目指しています。具体的には、全製造プロセスでのエネルギー効率化と排熱リサイクルシステムの導入により、サステナブルな厚生の実現に取り組んでいます。

サプライチェーンの見直しに関しては、「Green Supply Chain Policy」を策定し、サプライヤー選定基準にサステナビリティへの取り組みを組み入れるなど、原材料調達から製品配送まで、環境にやさしいプロセス構築を進めています。また、株式会社YYYと共同で「Bio-Traceability System」を開発、原材料の生産過程が透明に追跡できる体制を整えています。

その他には、医薬品業界固有のCSR活動として、「Global Health Advancement Program」を展開しており、特に発展途上国での疾病予防とヘルスケア強化に取り組んでいます。このプログラムでは、現地NGOとの提携を深めると共に、2025年までに避難民1万人への治療薬無償提供を目標として掲げております。このように当社は、医薬品企業として社会的責任を全うし、一方で企業成長と社員の充実した生活を守る多角的なサステナビリティ戦略を推進している次第です。"
鉄鋼・非鉄 ,戦略に関する事項,多様性の推進,働きがいのある社内環境づくり,環境負荷の削減,サプライチェーンの見直し,その他,"当社は、サステナビリティを企業戦略の中心に位置づけ、持続可能な社会の構築に向けて積極的に取り組んでおります。具体的な戦略として、私たちは「Green Steel Initiative 2030」を掲げ、製鉄プロセスにおける炭素排出量の大幅な削減に努めております。この目標を達成するため、再生可能エネルギーの導入を拡大し、省エネルギー技術の開発を推進し、2030年までにCO2排出量を現在のレベルから50%削減する計画を進めております。また、製品ライフサイクル全体での環境負荷低減を目指し、再利用可能な素材の利用拡大やリサイクルシステムの確立に注力しています。

多様性の推進においては、組織の持続的なイノベーション力強化を目的として、「Diversity & Inclusion 2025」計画を立てました。女性の管理職率を現在の15%から2025年までに30%に引き上げる目標を掲げ、キャリア開発プログラムを提供し、女性のリーダーシップ育成に力を入れております。また、国際的な人材の採用を促進し、文化的背景や価値観が多様なチームを通じて、新たなアイデアと解決策を生み出す環境をつくっています。

働きがいのある社内環境づくりに関しては、「Work-Life Synergy Project」を推進しております。従業員が仕事と私生活の調和を図りやすいようにフレックスタイム制度の拡充、在宅勤務の制度化を行い、心理的なサポートを提供するメンタルヘルスプログラムを整備しています。また、従業員のエンゲージメントと生産性を高めるために、キャリアパスの多様化やスキルアップのための継続的な教育機会を提供しています。

環境負荷の削減においては、鉄鋼業界におけるリーダーとしての責任を自覚し、全社的な環境マネジメントシステムの構築と徹底を図っています。本社では、「NCM (Non CO2 Movement)」プログラムを立ち上げ、2030年までにCO2排出量を100%削減する目標に向けて、全ての製造工程での省エネ設備投資を進め、排出ガスの再利用技術を開発しております。さらに、エネルギー効率の高い新規技術の導入に注力し、製鉄プロセスにおける革新を追求しています。

サプライチェーンの見直しに関しては、「Sustainable Supply Chain Program」を展開し、原材料調達から製品出荷に至るまで、サプライチェーン全体の環境パフォーマンスを向上させております。供給業者に対しても環境基準を設け、定期的な評価とフィードバックを行うことで、サプライヤー側のサステナビリティへの取り組みを促進しています。さらに、製品のトレーサビリティを強化し、倫理的かつ環境に配慮した資源の採用を推進しています。

その他には、地域社会との共生を図るための「Community Engagement Plan」を策定し、当社の事業活動が地域環境やコミュニティに与える影響を最小限に抑える努力をしております。地域社会への投資として、公園の整備や文化施設への寄付、教育支援プログラムを展開することで、地域の持続可能な発展に貢献しています。また、地域住民との対話を重視し、透明性の高い情報公開を通じて信頼関係の構築に取り組んでいます。これらの取り組みを一層進化させることで、当社は総合的なサステナビリティの向上を目指してまいります。"
電力・ガス ,戦略に関する事項,多様性の推進,働きがいのある社内環境づくり,環境負荷の削減,サプライチェーンの見直し,その他,"当社は、持続可能な経営を実現するために「グリーンエナジー・インテグレーションプラン2025」を策定しました。これにより、2030年までに再生可能エネルギーの導入比率を50％に拡大し、併せて電力供給におけるCO2排出量を2025年度までに20％削減することを目標としております。また、送電ネットワークの最適化により、エネルギーロスを10%減少させる「Efficiency Boostプロジェクト」を推進しております。

多様性の推進においては、女性の役員比率を現在の10%から2025年までに30%以上へ引き上げることで、異なる視点の経営を実現し、イノベーションを促進します。さらに、「Diversity Expansionプログラム」を通じて、社内の国籍や文化的背景が異なる従業員が協力して働ける体制を整え、市場におけるグローバルな需要に柔軟に対応する企業体制を築いてまいります。

働きがいのある社内環境づくりに関しては、「Work-Life Harmonyプロジェクト」を推進しており、この取り組みにより、フレックスタイム制度の利用率を70％に向上させるとともに、テレワークの活用を推進し、従業員1人当たりの残業時間を月平均20時間以下に抑えます。これにより、従業員が各々のライフステージに応じた働き方を実現できるよう支援します。

環境負荷の削減においては、当社独自の「Zero Emission Challenge 2035」を掲げ、2035年までに自社施設におけるCO2排出量を実質ゼロにすることを目指します。このために、全ての事業所に太陽光発電設備を導入し、エネルギー管理システム(Energy Management System, EMS)を活用してエネルギー消費効率を40%改善します。

サプライチェーンの見直しに関しては、サステナブル調達基準「Green Procurement Guidelines」を策定し、全サプライヤーにそれを遵守していただくことで、2030年までにサプライチェーン全体のCO2排出量を25%削減します。また、「Sustainable Supply Chain Alliance」を立ち上げ、サプライヤーと連携して環境に配慮した材料調達と生産プロセスの最適化を推進します。

その他には、地域社会との共生を目指して「Local Energy Partnershipプログラム」を実施し、自治体や地域の企業と連携して、地産地消型のエネルギーシステムの構築を進めます。このプログラムでは、地域ごとに再生可能エネルギープロジェクトを展開し、地域経済の活性化及び雇用創出にも貢献します。これらの取り組みを通じて、当社は持続可能かつ社会に貢献する電力・ガス供給事業者へと進化を遂げてまいります。"
素材・化学 ,人材育成、社内環境整備方針,女性・外国人・障がい者の積極登用,健康経営,エンゲージメントサーベイ,社内研修と育成,その他,"当社は、持続可能性と社会的責任を核とした経営戦略を推進しています。長期的なビジョン「サステナブル・イノベーション2050」を掲げ、持続可能な社会の実現に向けて素材・化学業界におけるリーダーとしての立場を強化しています。具体的には、当社の研究開発力を用いて、環境に配慮した製品の供給を増やし、リサイクルシステムの構築を含む「サーキュラー・エコノミー計画」を進行中です。さらに、2030年までに当社のCO2排出量を実質ゼロにする目標の「NCM（Non CO2 Movement）」を展開しており、全工程に渡るエネルギー効率の改善や再生可能エネルギーの導入を積極的に推し進めています。

女性・外国人・障がい者の積極登用においては、ダイバーシティ＆インクルージョンを企業文化に根付かせるために企業努力を重ねています。女性の管理職率においては、現在20%を達成し、2025年までには30%に引き上げることを目標に掲げています。また、グローバル経営体制を強化する観点から外国人社員の割合を現行の5%から10%に増やし、全ポジションにおける障がい者の雇用比率も法定雇用率の2倍とし、当社の多様性と柔軟性を高めています。

健康経営に関しては、「元気な社員プロジェクト」を立ち上げ、2021年に健康経営優良法人認定を取得しています。産業医および心理カウンセラーによる定期的な健康診断やストレスチェックを実施し、メンタルヘルスのサポート体制を整えています。さらに、社員が自発的に健康管理を行えるように、フィットネスルームの設置や健康関連ワークショップの開催にも力を入れています。

エンゲージメントサーベイにおいては、年間2回、全社員を対象とした調査を行い、職場の雰囲気やモチベーション、所属感情に関するデータを収集しています。その結果を踏まえ、管理職のコミュニケーションスキル向上のトレーニングやチームビルディングのイニシアティブを取り入れ、社員一人ひとりの働きがいを高めています。

社内研修と育成に関しては、「リーダーシップ・アカデミー」という独自のプログラムを設けており、管理職を目指す社員には適宜必要なものと、能力に応じた研修を提供しています。また、全社員が市場のニーズに応じたスキルを持つことを目指し、「スキルズ・アップデート・プラン」に基づき、年間20時間以上の技術研修や業界セミナーへの参加を奨励しています。

その他には、社内のワーク・ライフ・バランスの推進のために「フレキシブル・ワークアレンジメント制度」を導入し、遠隔勤務や時短勤務が可能な環境を整えています。社員が仕事と私生活の両立を図りやすくすることで、クリエイティビティと生産性を高めている点が特筆されます。このように、当社は社員が持続可能で居心地の良い職場環境の中で成長し発展できるよう、絶えず努力しています。"
電機・精密 ,人材育成、社内環境整備方針,女性・外国人・障がい者の積極登用,健康経営,エンゲージメントサーベイ,社内研修と育成,その他,"当社は、持続可能な成長を実現するために、人材育成と環境整備を重要な経営戦略と位置づけております。これまでに実施してきた「Future Mind Program」により、革新的なアイデアを生み出す社員が年間で30%増加しており、その結果、新規プロジェクトの提案数が前年比50%増と大幅にアップしました。また、内発的成長を促進するため、各部門に独自の研究開発予算を配分し、技術革新の促進と社内起業精神を育む「InnoVenture Challenge」を開催しております。

女性・外国人・障がい者の積極登用においては、多様性と包摂性を企業文化に根づかせる取り組みを強化しています。特に女性の活躍推進に取り組み、女性の管理職率を現在20%に到達させることは大きなマイルストーンでした。外国人社員比率も25%に拡大し、多言語コミュニケーション能力を向上させる研修「Global Mindset Program」を実施しており、障がい者雇用においても法定雇用率を上回る3.5%を実現しています。

健康経営に関しては、「Wellness Leader Initiative」と題した社内プログラムにより、従業員一人ひとりが健康管理を自己管理できる環境を整備しており、ストレスチェック利用率は90%を超え、メンタルヘルス休暇の導入により、長期休職率が前年度から30%減少しました。

エンゲージメントサーベイにおいては、従業員の意欲と献身を可視化し、職場の改善ポイントを特定するために年2回実施しております。最新の調査結果からは、社内コミュニケーションの向上を希望する声が多く挙がっており、次期のアクションプランの中心テーマとして取り組む予定です。

社内研修と育成に関しては、各従業員のキャリアパスに応じた「Customized Skill-up Program」を導入し、技術者としての深い専門知識だけでなく、マネジメント能力の向上にも着目しています。昨年度は、実際のプロジェクトに即したシミュレーションを通じて、総合的な問題解決能力を育む「Practical Engineering Course」が高い評価を得ました。

その他には、環境負荷の低減を目指し、2030年までにCO2排出量100%削減を目標とする「NCM（Non Co2 Movement）」に取り組んでおり、再生可能エネルギーの導入拡大やリサイクルを推進する「Eco-Smart Factory Initiative」により、これまでのCO2排出量を60%削減する成果を達成しています。持続可能な生産体系の構築は、エネルギー・資源問題に敏感な電機・精密業界での競争優位性を高めるためにも欠かせない取り組みです。

これらの取り組みを通じて、当社は技術革新と社会貢献を両立させる企業文化の実現を目指しており、社員一人ひとりがプロフェッショナルとしての誇りと責任を持ち、企業と社会の持続可能な発展に貢献してまいります。"
